Preschool_Name,Location_Type,Address,Opening_Hours,Preschool_Website,Google_Website,Update_Time,Stars,Average_Stars
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,After school program,"601 MacPherson Rd, #02-01 Grantral Mall/Grantral Complex@Macpherson, Singapore 368242 ","Thursday, 12:30 to 7pm,    Friday, 12:30 to 7pm,    Saturday, 9am to 5pm,    Sunday, Closed,    Monday, 12:30 to 7pm,    Tuesday, 12:30 to 7pm,    Wednesday, 12:30 to 7pm",https://mindspace.mindchamps.org/mindspace-tai-seng-grantral-mall/?utm_source=google&utm_medium=gmb&utm_campaign=organic_gmb&utm_id=organic,"https://www.google.com/maps/place/MindSpace+@+Tai+Seng+(Grantral+Mall)+%7C+After+School+Student+Care+for+P1-P5+%7C+MindChamps+Enrichment+for+P1-P5/@1.3335017,103.8871113,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17f6ffb77539:0xfc477014ecc9b941!8m2!3d1.3335017!4d103.8871113!16s%2Fg%2F11tg2xnkpn?entry=ttu",2024-04-11 07:36:06.090353,"5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5",5.0
MindChamps Reading Programme @ Bishan,Educational institution,"18 Sin Ming Ln, #01-18 Midview City, Singapore 573960 ",,https://www.mindchamps.org/enrichment/our-centres/mindchamps-enrichment-academy-bishan-midview-city/,"https://www.google.com/maps/place/MindChamps+Reading+Programme+@+Bishan/@1.3595569,103.8344894,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17809ad8a8d9:0xa2e5dcfb634b7b25!8m2!3d1.3595569!4d103.8344894!16s%2Fg%2F11ty22zz6w?entry=ttu",2024-04-11 07:35:51.320369,"5,    5,    5,    5,    5,    5,    4",4.857142857142857
MindChamps PreSchool @ Adda Heights,Preschool,"238, 240, Jalan Adda 7, 81100 Johor Bahru, Johor, Malaysia ","Thursday (Eid al-Fitr (Observed)), Closed, Holiday hours,    Friday, Closed,    Saturday, Closed,    Sunday, Closed,    Monday, 8am to 6pm,    Tuesday, 8am to 6pm,    Wednesday, 8am to 6pm",https://my.mindchamps.org/contact-us/,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Adda+Heights/@1.5451258,103.7496653,17z/data=!3m1!4b1!4m6!3m5!1s0x31da6d58626bdb0f:0x1f65501dcf91b73d!8m2!3d1.5451258!4d103.7496653!16s%2Fg%2F11h6lclht1?entry=ttu",2024-04-11 07:35:25.961099,"5,    5,    5,    5,    5,    5,    4",4.857142857142857
MindChamps Reading @ Punggol Northshore,Education center,"11 Northshore Dr, #01-B, Singapore 828670 ","Thursday, 9am to 6:30pm,    Friday, 9am to 6:30pm,    Saturday, 9am to 6:30pm,    Sunday, 9am to 6:30pm,    Monday, 9am to 6:30pm,    Tuesday, 9am to 6:30pm,    Wednesday, 9am to 6:30pm",https://www.mindchamps.org/mrw/reading-programme/,"https://www.google.com/maps/place/MindChamps+Reading+@+Punggol+Northshore/@1.4154673,103.8990783,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15732e065dd1:0xaddf028228227c15!8m2!3d1.4154673!4d103.8990783!16s%2Fg%2F11frp8m64g?entry=ttu",2024-04-11 07:35:00.633570,"5,    5,    4,    5,    5,    5,    5",4.857142857142857
MindChamps Reading & Writing Programme @ Westgate,Learning center,"3 Gateway Dr, #04-16/17 Westgate, Singapore 608532 ","Thursday, 12:30 to 9pm,    Friday, 12:30 to 9pm,    Saturday, 9am to 8pm,    Sunday, 10am to 8pm,    Monday, 12:30 to 9pm,    Tuesday, 12:30 to 9pm,    Wednesday, 12:30 to 9pm",http://www.mindchamps.org/,"https://www.google.com/maps/place/MindChamps+Reading+%26+Writing+Programme+@+Westgate/@1.334158,103.7428434,17z/data=!3m1!4b1!4m6!3m5!1s0x31da100fa97b1b6b:0xba81ef7a787e7021!8m2!3d1.334158!4d103.7428434!16s%2Fg%2F11c3v50sny?entry=ttu",2024-04-11 07:34:53.019265,"5,    5,    5,    5,    5",5.0
MindSpace @ Central Plaza (Tiong Bahru) | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,Education center,"Central Plaza, 298 Tiong Bahru Rd, #09-05/06, 168730 ","Thursday, 11am to 7pm,    Friday, 11am to 7pm,    Saturday, 9am to 6:30pm,    Sunday, Closed,    Monday, 11am to 7pm,    Tuesday, 11am to 7pm,    Wednesday, 11am to 7pm",https://mindspace.mindchamps.org/contact-us/,"https://www.google.com/maps/place/MindSpace+@+Central+Plaza+(Tiong+Bahru)+%7C+After+School+Student+Care+for+P1-P5+%7C+MindChamps+Enrichment+%26+PSLE+for+P1-P6/@1.2864244,103.827346,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19625bee4519:0xa835a3d51fb731b3!8m2!3d1.2864244!4d103.827346!16s%2Fg%2F11rtrjxv3g?entry=ttu",2024-04-11 07:34:26.147102,"5,    5,    5,    5,    5",5.0
MindChamps Enrichment Academy @ Marina Square HQ,Education center,"6 Raffles Blvd, #04-100 Marina Square, Singapore 039594 ","Thursday, 8am to 8pm,    Friday, 8am to 8pm,    Saturday, 8am to 8pm,    Sunday, 8am to 8pm,    Monday, 8am to 8pm,    Tuesday, 8am to 8pm,    Wednesday, 8am to 8pm",https://www.mindchampsonline.com/,"https://www.google.com/maps/place/MindChamps+Enrichment+Academy+@+Marina+Square+HQ/@1.291433,103.8576787,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1958eccc080d:0xf4a6d8433facb4b1!8m2!3d1.291433!4d103.8576787!16s%2Fg%2F11fqt5dt3m?entry=ttu",2024-04-11 07:34:00.320387,"2,    2,    5,    5,    1,    5,    5,    1,    4,    5,    5",3.636363636363636
MindChamps Reading @ Sembawang Nordcom II (Reading & Phonics Classes for Kids),Education center,"2 Gambas Cres, #01-26/27/40/41 Nordcom II, Singapore 757044 ","Thursday, Closed,    Friday, Closed,    Saturday, 9am to 1pm,    Sunday, 9am to 1pm,    Monday, Closed,    Tuesday, Closed,    Wednesday, Closed",https://api.whatsapp.com/send?phone=6583393177&text=Hello%2C%20I%20saw%20your%20google%20profile%20and%20am%20keen%20to%20register%20for%20a%20trial%20class...,"https://www.google.com/maps/place/MindChamps+Reading+@+Sembawang+Nordcom+II+(Reading+%26+Phonics+Classes+for+Kids)/@1.4433502,103.8155687,17z/data=!3m1!4b1!4m6!3m5!1s0x31da137d4e22c8a9:0x78bf66d00af0dad5!8m2!3d1.4433502!4d103.8155687!16s%2Fg%2F11tjn_31vs?entry=ttu",2024-04-11 07:33:46.167510,"5,    5,    5,    5,    5,    4,    5,    5,    5,    5,    5,    4,    5,    5",4.857142857142857
MindChamps Reading Programme @ Sengkang,Educational institution,"70 Compassvale Bow, #02-05 Sengkang Grand Mall, Singapore 544692 ",,https://www.mindchamps.org/enrichment/our-centres/sengkang-grand-mall/,"https://www.google.com/maps/place/MindChamps+Reading+Programme+@+Sengkang/@1.3818605,103.8927256,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17e02e96a565:0x238ea7e0372666cf!8m2!3d1.3818605!4d103.8927256!16s%2Fg%2F11kk2z37bj?entry=ttu",2024-04-11 07:33:32.143591,"5,    5,    5,    5,    5,    4,    5,    5,    5,    5,    5,    4,    5,    5",4.857142857142857
MindSpace @ Midview City (Bishan) | After School Student Care for P1-P5 | Powered By MindChamps,Education center,"18 Sin Ming Ln, #01-14 Midview City, Singapore 573960 ","Thursday, 12 to 7pm,    Friday, 12 to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 12 to 7pm,    Tuesday, 12 to 7pm,    Wednesday, 12 to 7pm",https://mindspace.mindchamps.org/contact-us/,"https://www.google.com/maps/place/MindSpace+@+Midview+City+(Bishan)+%7C+After+School+Student+Care+for+P1-P5+%7C+Powered+By+MindChamps/@1.3586404,103.8340972,17z/data=!3m1!4b1!4m6!3m5!1s0x31da172604e408b7:0x4781e33e7bdf7477!8m2!3d1.3586404!4d103.8340972!16s%2Fg%2F11rtsg6l5f?entry=ttu",2024-04-11 07:33:06.088594,"5,    5,    5,    5,    5,    4,    5,    5,    5,    5,    5,    4,    5,    5",4.857142857142857
