Preschool_Name,Comment,Sentiment,Noun
Agape Little Uni Thomson Centre,"My baby girl joined the centre when she was around 1yo, because my Indonesian helper injured her hand and we needed the extra help. I'm really grateful for all the help and love Agape provided for her and the family. They extended their help in applying for additional subsidy due to low income, with frequent updates on the progress and how my child was doing. The infant care was also well structured and my child grew smarter in her time there. I felt really supported in this time of difficulty. Agape was the nearest centre available to join on short notice without a waitlist of 2+ months, probably due to price, but it's really worth it.",0.1318181818181818,"[('help', 3), ('centre', 2), ('child', 2), ('time', 2), ('baby', 1), ('girl', 1), ('helper', 1), ('hand', 1), ('family', 1), ('subsidy', 1), ('income', 1), ('update', 1), ('progress', 1), ('infant', 1), ('care', 1), ('difficulty', 1), ('notice', 1), ('waitlist', 1), ('month', 1), ('price', 1)]"
Agape Little Uni Jurong West Centre,send my qiqif.,0.0,"[('qiqif', 1)]"
Agape Little Uni @ Kallang Pte Ltd,Great school. My son loves it here!,1.0,"[('school', 1), ('son', 1)]"
Agape Little Uni @ Kallang Pte Ltd, Very good and nice,0.7549999999999999,[]
Agape Little Uni @ Clementi Pte Ltd,Very good quite place nice position and 🔕 …,0.7549999999999999,"[('position', 1)]"
Agape Little Uni @ Cecil Pte Ltd,Decided to withdraw my baby after his first day as we decided he was incompatible with the teachers (bad crying even though it was just 2.5hrs in the school) but was still charged the full month amount with no room for negotiations to prorate the amount as I could not give the 14 day notice required in the contract. Just goes to show how much compassion the management actually has. Imagine paying a full month fee for only 2.5hrs of attendance because my baby was incompatible with the care provided by the centre.,0.03125000000000001,"[('baby', 2), ('day', 2), ('month', 2), ('teacher', 1), ('school', 1), ('room', 1), ('negotiation', 1), ('notice', 1), ('contract', 1), ('compassion', 1), ('management', 1), ('fee', 1), ('attendance', 1), ('care', 1), ('centre', 1)]"
Agape Little Uni @ Cecil Pte Ltd," Terrible attitude. Called to enquire about centre visit, am told that visiting hours are only between 1-2.30pm (kids' nap time). Asked if possible to view other times as classroom interaction and observation of the same would be important considerations for us in assessing a centre's suitability. Front desk person sounded she couldn't be bothered with the enquiry and flatly said they don't allow this (with no further follow up or alternative suggestion on how parents can go about getting more information on classroom dynamics and teacher interaction with students, etc.)",-0.027777777777777776,"[('centre', 2), ('time', 2), ('classroom', 2), ('interaction', 2), ('attitude', 1), ('visit', 1), ('hour', 1), ('kid', 1), ('observation', 1), ('consideration', 1), ('suitability', 1), ('desk', 1), ('person', 1), ('enquiry', 1), ('suggestion', 1), ('parent', 1), ('information', 1), ('dynamic', 1), ('teacher', 1), ('student', 1)]"
Agape Little Uni @ Cecil Pte Ltd," said ""bye-bye"" on the phone and hung up promptly. TBH if this is the attitude that parents who are cold calling about the centre get,",-0.6,"[('phone', 1), ('tbh', 1), ('attitude', 1), ('parent', 1), ('centre', 1)]"
Agape Little Uni @ Cecil Pte Ltd,I can't imagine what the situation would be if there was a genuine issue with the centre with an enrolled child. Just terrible and lacking in compassion all round.,-0.26666666666666666,"[('situation', 1), ('issue', 1), ('centre', 1), ('child', 1), ('compassion', 1)]"
Agape Little Uni @ Cecil Pte Ltd, Very good and nice,0.7549999999999999,[]
Agape Child Care (CCK) Pte Ltd,"Worst ... principal money face. All the time short of Chinese teachers (no one want to stay long) and cooking auntie , teacher have to be cook and teach at same time, students wash plate themself ....",-0.21000000000000002,"[('time', 2), ('teacher', 2), ('money', 1), ('face', 1), ('auntie', 1), ('student', 1), ('plate', 1), ('themself', 1)]"
Agape Child Care (CCK) Pte Ltd," Last week,",0.0,"[('week', 1)]"
Agape Child Care (CCK) Pte Ltd,I visited the childcare centre and all the kids look happy. The childcare centre is built under a bomb shelter. It feels very safe!,0.80625,"[('childcare', 2), ('centre', 2), ('kid', 1), ('bomb', 1), ('shelter', 1)]"
Adventure Tree Preschool - Holland,Excellent well run preschool with friendly & experienced teachers. The house is well setup inside for different age groups and with pedal karts outside for outdoor play.,0.43499999999999994,"[('teacher', 1), ('house', 1), ('setup', 1), ('age', 1), ('group', 1), ('pedal', 1), ('kart', 1), ('play', 1)]"
Adventure Tree Preschool - Holland,"Breakfast, lunch and snacks are covered by a daily menu.",0.0,"[('lunch', 1), ('snack', 1), ('menu', 1)]"
Adventure Tree Preschool - Holland,My kids have been happy here since starting. Long opening hours when needed. Happy to recommend!,0.4375,"[('kid', 1), ('hour', 1)]"
Adventure Tree Preschool - Holland," We love Adventure Tree and the schooling environment it provides for our child. Nurturing, wholesome and friendly. The teachers have our children's best interests at heart and best part our little girl loves going to school every day! We could not have chosen a better school!",0.5442708333333334,"[('child', 2), ('school', 2), ('schooling', 1), ('environment', 1), ('teacher', 1), ('interest', 1), ('heart', 1), ('girl', 1), ('day', 1)]"
Acekidz @ SG Pte Ltd (Yishun),"Very very poor service from the school. Miscalculated school fees, no daily, weekly & worse of all monthly updates. I didnt even know how my son was doing in school bc admin didn’t even bother to reply my texts. They will reply or text you when it comes to MONEY & MONEY only. I withdrew my son earlier bc things were getting out of hands. The amount of mosquitoes outside their classes…. Horrendous. Based on experience, i do not recommend you to send your kids to this school.",-0.15333333333333335,"[('school', 4), ('son', 2), ('money', 2), ('service', 1), ('fee', 1), ('update', 1), ('text', 1), ('thing', 1), ('hand', 1), ('mosquito', 1), ('class', 1), ('experience', 1), ('kid', 1)]"
Acekidz @ SG Pte Ltd (Yishun), Just joined a couple months back but we have encountered tons of problems!,0.0,"[('couple', 1), ('month', 1), ('ton', 1), ('problem', 1)]"
Acekidz @ SG Pte Ltd (Yishun),"There was no update when we were onboard the school, there was no communication and the teacher wasn't aware of my child's first day of school! The registration was wrong too and they calculated the fee wrongly. Worst case is that once we paid the wrong fee which was way more than we should have paid because my child was registered for half day, they REFUSED to return the fee despite the error from their end!",-0.1636904761904762,"[('fee', 3), ('school', 2), ('child', 2), ('day', 2), ('update', 1), ('communication', 1), ('teacher', 1), ('registration', 1), ('case', 1), ('error', 1), ('end', 1)]"
Acekidz @ SG Pte Ltd (Yishun),There were multiple outbreaks of HFMD and COVID in the span of 2 months when we were there and we ended up not sending our child to school.,0.0,"[('outbreak', 1), ('span', 1), ('month', 1), ('child', 1), ('school', 1)]"
Acekidz @ SG Pte Ltd (Yishun),It seems there was a change in principals and the handover wasn't done smoothly and no communication was given to the parents.,0.4,"[('change', 1), ('principal', 1), ('handover', 1), ('communication', 1), ('parent', 1)]"
Acekidz @ SG Pte Ltd (Yishun)," trusted the school when Ms Kamie,",0.0,"[('school', 1)]"
Acekidz @ SG Pte Ltd (Yishun),"Teacher Sanjana was around. But after they resigned, i’ve realised the school’s quality is deteriorating, seem that they have lack of staffing, new principal didn’t give updates, too many teachers resigning, one teacher had to serve food while multi-tasking to feed the kids. school fees is expensive, they stop using air-con, my son always complaint abt he see bugs in class and the school is always hot.",0.017272727272727273,"[('teacher', 3), ('school', 3), ('quality', 1), ('lack', 1), ('staffing', 1), ('principal', 1), ('update', 1), ('food', 1), ('kid', 1), ('fee', 1), ('air', 1), ('son', 1), ('bug', 1), ('class', 1)]"
