Word,Frequency,Category
teacher,7187,Educational Roles
school,6266,Educational Institutions and Facilities
child,4885,Students
kid,2788,Students
parent,1600,Educational Roles
son,1466,Educational Roles
year,1316,Time in Education
care,1268,Emotions and Values in Education
staff,1266,Educational Roles
daughter,1234,Educational Roles
environment,1116,Educational Resources and Materials
time,1102,
day,937,Time in Education
principal,845,
activity,796,Activities and Events
class,763,
centre,715,Educational Institutions and Facilities
experience,705,Educational Management and Organization
curriculum,628,Learning and Teaching
lot,617,
month,614,Time in Education
thank,602,
team,558,Educational Management and Organization
learning,554,Learning and Teaching
girl,525,Educational Roles
preschool,505,
place,494,Educational Institutions and Facilities
boy,488,Educational Roles
effort,464,
love,453,Emotions and Values in Education
work,445,
student,443,Educational Roles
fun,441,
update,423,Communication in Education
development,419,
friend,396,Educational Roles
communication,350,Communication in Education
education,345,Learning and Teaching
skill,331,Learning and Teaching
infant,329,Students
way,328,
progress,326,Learning and Teaching
teaching,317,Learning and Teaching
childcare,316,
thing,314,
hand,310,
home,306,Educational Institutions and Facilities
patience,302,Emotions and Values in Education
journey,291,
family,269,
play,267,Activities and Events
lesson,263,Learning and Teaching
area,257,Educational Resources and Materials
baby,238,Students
dedication,229,
center,223,Educational Institutions and Facilities
life,219,
job,212,
management,209,Educational Management and Organization
improvement,199,Educational Management and Organization
growth,199,Educational Management and Organization
facility,198,Educational Institutions and Facilities
concern,197,
feedback,193,Communication in Education
week,191,Time in Education
event,191,Activities and Events
guidance,191,
heart,189,
support,185,
food,183,Food in Education
decision,181,Educational Management and Organization
app,178,Educational Technology
mind,177,
language,173,Communication in Education
confidence,167,Emotions and Values in Education
need,164,
quality,163,
choice,162,
kindergarten,161,
classroom,159,Educational Institutions and Facilities
morning,154,Time in Education
one,154,
value,154,
program,154,Educational Management and Organization
space,151,Educational Resources and Materials
age,150,
attention,150,
level,149,
playground,149,Educational Resources and Materials
word,143,
pre,143,
knowledge,139,Learning and Teaching
issue,138,
kudo,135,
photo,128,
educator,127,Educational Roles
music,127,
passion,126,
champ,123,Students
term,120,
art,118,
enrichment,118,Activities and Events
opportunity,114,Activities and Events
toddler,112,Students
interest,109,
end,108,
branch,108,Educational Institutions and Facilities
review,107,
programme,107,Educational Management and Organization
group,105,Educational Management and Organization
change,100,Educational Management and Organization
service,99,Educational Management and Organization
transition,99,Educational Management and Organization
mindchamp,99,
alot,98,
auntie,96,Educational Roles
performance,96,Activities and Events
playgroup,96,Activities and Events
classmate,96,
fee,94,
smile,94,
memory,94,
period,92,Time in Education
foundation,92,
safety,91,Educational Resources and Materials
house,89,Educational Institutions and Facilities
laoshi,89,
childhood,89,Students
interaction,88,
peace,87,
graduation,87,
mile,86,
moment,86,
approach,85,
story,85,
question,85,Communication in Education
ease,84,
location,83,
aspect,82,
meal,81,Food in Education
character,81,
understanding,81,
joy,79,Emotions and Values in Education
community,78,
reading,78,Learning and Teaching
today,78,
water,78,Food in Education
point,77,
role,77,Educational Resources and Materials
tour,76,Educational Resources and Materials
face,74,Educational Resources and Materials
kindness,74,Emotions and Values in Education
difference,73,Educational Resources and Materials
excursion,73,Activities and Events
concert,72,Activities and Events
room,71,Educational Institutions and Facilities
nursery,71,Educational Resources and Materials
commitment,71,Educational Resources and Materials
atmosphere,71,Educational Resources and Materials
trip,71,Activities and Events
help,70,Educational Resources and Materials
people,70,Educational Resources and Materials
book,70,Educational Resources and Materials
attitude,69,Educational Resources and Materials
study,69,Learning and Teaching
speech,68,Learning and Teaching
gratitude,68,Emotions and Values in Education
query,68,Educational Resources and Materials
celebration,68,Activities and Events
song,68,Activities and Events
self,68,Educational Resources and Materials
standard,68,Educational Resources and Materials
problem,67,Educational Resources and Materials
ability,66,Educational Resources and Materials
hour,65,Time in Education
sense,65,Educational Resources and Materials
star,64,Educational Resources and Materials
principle,63,Educational Management and Organization
ratio,63,Educational Resources and Materials
reason,63,Educational Resources and Materials
process,63,Educational Resources and Materials
fact,61,Educational Resources and Materials
kind,61,Educational Resources and Materials
session,60,Activities and Events
turnover,59,Educational Resources and Materials
material,59,Educational Resources and Materials
visit,58,Educational Resources and Materials
building,58,Educational Institutions and Facilities
hygiene,58,Educational Resources and Materials
case,57,Educational Resources and Materials
campus,57,Educational Institutions and Facilities
writing,57,Learning and Teaching
bus,55,Educational Resources and Materials
response,54,Communication in Education
picture,54,Educational Resources and Materials
drop,54,Educational Resources and Materials
door,54,Educational Resources and Materials
mandarin,54,Educational Resources and Materials
appreciation,54,Emotions and Values in Education
everyday,54,Time in Education
stage,53,Educational Resources and Materials
culture,53,Educational Resources and Materials
field,53,Educational Resources and Materials
person,52,Educational Resources and Materials
bit,52,Educational Resources and Materials
expectation,52,Educational Resources and Materials
rest,52,Educational Resources and Materials
situation,51,Educational Resources and Materials
impact,51,Educational Resources and Materials
manner,51,Educational Resources and Materials
form,51,Educational Resources and Materials
encouragement,50,Educational Resources and Materials
admin,50,Educational Roles
video,50,Educational Resources and Materials
number,49,Educational Resources and Materials
leadership,49,Educational Management and Organization
course,48,Learning and Teaching
compound,48,Educational Resources and Materials
craft,48,Educational Resources and Materials
enthusiasm,48,Emotions and Values in Education
husband,48,Educational Roles
mother,48,Educational Roles
habit,47,Educational Resources and Materials
garden,47,Educational Resources and Materials
worry,47,Emotions and Values in Education
patient,47,Emotions and Values in Education
cooking,47,Food in Education
detail,47,Educational Resources and Materials
system,47,Educational Resources and Materials
wife,46,Educational Roles
world,46,Educational Resources and Materials
responsibility,46,Educational Management and Organization
behaviour,46,
nature,46,
professionalism,46,Educational Management and Organization
creativity,46,Educational Management and Organization
check,46,Educational Management and Organization
workshop,46,Activities and Events
academic,45,Educational Management and Organization
phonic,45,
science,45,
warmth,45,
future,44,
shout,44,
challenge,44,
assurance,44,
incident,44,
method,43,
start,43,
health,43,
milestone,42,
sport,42,
training,41,Learning and Teaching
weekend,41,Time in Education
discipline,41,Educational Management and Organization
gem,41,Educational Management and Organization
email,41,Communication in Education
money,40,
toy,40,
energy,40,
learner,40,
independence,40,
cleanliness,40,
dance,40,
plenty,39,
regret,39,Emotions and Values in Education
motor,39,
shoutout,39,
chance,39,
rate,39,Educational Management and Organization
information,38,Educational Management and Organization
addition,38,Educational Management and Organization
occasion,38,Educational Management and Organization
focus,38,Educational Management and Organization
exposure,38,Educational Management and Organization
park,38,Educational Institutions and Facilities
variety,38,Educational Management and Organization
lunch,37,Food in Education
stuff,36,
matter,36,
balance,36,Educational Management and Organization
peer,36,
individual,36,Educational Management and Organization
success,36,Educational Management and Organization
concept,36,Educational Management and Organization
phone,35,Educational Management and Organization
member,35,Educational Management and Organization
example,35,Educational Management and Organization
conversation,35,Communication in Education
beginning,35,Educational Management and Organization
date,35,Time in Education
holiday,35,Educational Management and Organization
routine,35,Educational Management and Organization
math,34,Educational Management and Organization
thumb,33,
game,33,Educational Management and Organization
anxiety,33,Educational Management and Organization
drama,33,Educational Management and Organization
gym,33,Educational Management and Organization
relationship,33,Educational Management and Organization
outing,33,Activities and Events
action,33,Activities and Events
premise,33,Educational Management and Organization
literacy,33,Learning and Teaching
condition,33,Educational Management and Organization
happiness,33,Emotions and Values in Education
eye,32,
toilet,32,
thought,32,Educational Management and Organization
bond,32,Educational Management and Organization
step,32,Educational Management and Organization
leader,32,Educational Roles
lack,31,Educational Management and Organization
air,31,Educational Management and Organization
diaper,31,Educational Management and Organization
opinion,31,Educational Management and Organization
caring,31,Educational Management and Organization
idea,31,Educational Management and Organization
enquiry,30,Educational Management and Organization
sister,30,Educational Roles
milk,30,
message,30,Communication in Education
lady,30,Educational Roles
name,30,Educational Management and Organization
vibe,30,Educational Management and Organization
theme,30,Educational Management and Organization
couple,29,Educational Management and Organization
list,29,Educational Management and Organization
testament,29,Educational Management and Organization
practice,29,Educational Management and Organization
behavior,29,Educational Management and Organization
curiosity,29,Educational Management and Organization
subject,29,Educational Management and Organization
respect,29,Emotions and Values in Education
priority,29,Educational Management and Organization
mention,29,Educational Management and Organization
director,29,Educational Management and Organization
trust,29,Educational Management and Organization
preparation,29,Educational Management and Organization
report,28,Educational Management and Organization
request,28,Educational Management and Organization
surprise,28,Educational Management and Organization
minute,28,Educational Management and Organization
kitchen,28,Educational Management and Organization
deposit,28,Educational Management and Organization
personality,28,Educational Management and Organization
light,28,Educational Management and Organization
emphasis,28,Educational Management and Organization
homework,28,Educational Management and Organization
road,28,Educational Management and Organization
evening,28,Time in Education
wellbeing,27,Educational Management and Organization
syllabus,27,Educational Management and Organization
guy,27,Educational Management and Organization
owner,27,Educational Roles
tuition,27,Learning and Teaching
setting,27,
separation,27,
lao,27,
importance,27,
sch,27,
difficulty,26,
engagement,26,
manager,26,Educational Roles
neighbourhood,26,
reply,26,Communication in Education
ground,26,
comment,26,Communication in Education
basis,26,
brand,26,
regard,26,
initiative,26,
structure,25,
window,25,
result,25,
advice,25,
head,25,
enrolment,25,Educational Management and Organization
helper,24,Educational Roles
menu,24,Educational Management and Organization
assistant,24,Educational Roles
vocabulary,24,Educational Management and Organization
factor,24,Educational Management and Organization
instruction,24,Learning and Teaching
tip,24,Educational Management and Organization
option,24,Educational Management and Organization
feeling,24,Educational Management and Organization
adult,24,Educational Management and Organization
type,23,Educational Management and Organization
range,23,Educational Management and Organization
potential,23,Educational Management and Organization
plan,23,Educational Management and Organization
measure,23,Educational Management and Organization
project,23,Activities and Events
operation,23,Activities and Events
emotion,23,
mindset,23,Educational Management and Organization
involvement,23,Educational Management and Organization
topic,23,Educational Management and Organization
office,23,Educational Institutions and Facilities
style,23,Educational Management and Organization
footprint,23,Educational Management and Organization
price,22,Educational Management and Organization
registration,22,Educational Management and Organization
distance,22,Educational Management and Organization
mom,22,Educational Management and Organization
schedule,22,Educational Management and Organization
friendship,22,Educational Management and Organization
touch,22,Educational Management and Organization
virus,22,Educational Management and Organization
comfort,22,Emotions and Values in Education
charge,22,Educational Management and Organization
doubt,21,Emotions and Values in Education
arrangement,21,Educational Management and Organization
cleaning,21,Educational Management and Organization
progression,21,
playing,21,Activities and Events
note,21,Learning and Teaching
thinking,21,Learning and Teaching
core,21,Learning and Teaching
sentence,21,Learning and Teaching
kiddo,21,
security,21,
administration,21,
strength,21,
impression,21,
preschooler,21,Educational Roles
slot,21,
floor,21,Educational Institutions and Facilities
span,20,
ceremony,20,Activities and Events
partner,20,Educational Roles
nap,20,
recommendation,20,
experiment,20,Activities and Events
praise,20,Activities and Events
bonding,20,Activities and Events
achievement,20,Activities and Events
partnership,20,Activities and Events
excellence,20,Activities and Events
shi,20,
talk,20,Learning and Teaching
phase,20,Learning and Teaching
twin,20,
turn,20,Learning and Teaching
platform,20,Educational Institutions and Facilities
car,20,Educational Institutions and Facilities
view,20,Educational Institutions and Facilities
tlh,20,
compassion,19,Emotions and Values in Education
snack,19,Emotions and Values in Education
schooling,19,Learning and Teaching
generation,19,Learning and Teaching
leap,19,
empathy,19,Emotions and Values in Education
exploration,19,Learning and Teaching
pace,19,Learning and Teaching
size,19,
spelling,19,Learning and Teaching
happening,19,Learning and Teaching
wonder,19,Learning and Teaching
uniform,19,Emotions and Values in Education
skool,19,
notice,18,Learning and Teaching
observation,18,Learning and Teaching
consideration,18,Learning and Teaching
suggestion,18,Learning and Teaching
daycare,18,
off,18,
pick,18,
village,18,Educational Institutions and Facilities
night,18,Time in Education
sharing,18,
pool,18,
share,18,
festival,18,Activities and Events
duty,18,Activities and Events
showcase,18,Activities and Events
reminder,17,Activities and Events
company,17,Activities and Events
blessing,17,Activities and Events
item,17,Activities and Events
cookery,17,Activities and Events
highlight,17,Activities and Events
brother,17,Educational Roles
task,17,Activities and Events
bottle,17,Activities and Events
mum,17,Educational Roles
contact,17,Activities and Events
loving,17,Activities and Events
mth,17,
teamwork,17,Activities and Events
mood,17,Activities and Events
granddaughter,17,Activities and Events
customer,17,Educational Roles
raffle,17,Activities and Events
station,16,Educational Institutions and Facilities
assistance,16,Activities and Events
m,16,
news,16,Activities and Events
covid,16,Activities and Events
appointment,16,Activities and Events
expression,16,Activities and Events
pleasure,16,Activities and Events
relief,16,Activities and Events
outdoor,16,Activities and Events
half,16,Time in Education
welcoming,16,
meeting,16,
administrator,16,Educational Roles
parenting,16,
corner,16,
up,16,
professional,16,
tender,16,
p,16,
affair,16,
mask,16,
punggol,16,
daugther,16,
gourmet,16,
cook,15,
inquiry,15,Learning and Teaching
grandson,15,
credit,15,
answer,15,Learning and Teaching
cost,15,
rule,15,Learning and Teaching
gate,15,Educational Institutions and Facilities
notch,15,
resource,15,Learning and Teaching
business,15,
working,15,Learning and Teaching
sun,15,
mall,15,Educational Institutions and Facilities
robotic,15,Learning and Teaching
mix,15,Learning and Teaching
vacancy,15,
use,15,Learning and Teaching
application,15,Learning and Teaching
load,15,Learning and Teaching
niece,15,
path,15,Learning and Teaching
country,15,Educational Institutions and Facilities
planning,15,Learning and Teaching
surrounding,15,Learning and Teaching
fear,15,Learning and Teaching
outlet,15,Educational Institutions and Facilities
line,15,Educational Institutions and Facilities
instrument,15,
outbreak,14,
neighborhood,14,Educational Institutions and Facilities
complaint,14,
eater,14,
bound,14,
trouble,14,Learning and Teaching
yrs,14,
