preschool_name,preschool_branch,fees_link,fees_sc_infant_care,fees_sc_playgroup,fees_sc_nursery,fees_sc_kindergarten,fees_pr_infant_care,fees_pr_playgroup,fees_pr_nursery,fees_pr_kindergarten,txt_file_opened,found_curriculum,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,found_programme,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,found_levels,levels_infant_care,levels_playgroup,levels_nursery,levels_kindergarten
My First Skool (682B Edgedale Plains),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (684A Choa Chu Kang Crescent),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (688C Woodlands Dr 75),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (698C Jurong West Central 3),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (706 Hougang Ave 2),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (742 Woodlands Circle),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (756 Jurong West St 74),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (785E Woodlands Rise),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (796A Yishun Ring Road),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (80 Marine Parade Rd),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
My First Skool (803 Tampines Ave 4),My First Skool ,https://www.myfirstskool.com/fees-perks/fees/infant-fees/,1346.15,741.2,741.2,741.2,1737.18,981,981,981,"https___www_myfirstskool_com_our_approach_curriculum, https___www_myfirstskool_com_preschools_in_punggol, https___www_myfirstskool_com_fees_perks_promotion_, https___www_myfirstskool_com_our_approach_curriculum_, https___www_myfirstskool_com_our_centres_find_a_centre, https___www_myfirstskool_com_preschools_in_jurong, https___www_myfirstskool_com_about_us, https___www_myfirstskool_com_fees_perks, https___www_myfirstskool_com_for_parents_resources_, https___www_myfirstskool_com_about_us_awards_, https___www_myfirstskool_com_for_parents_, https___www_myfirstskool_com_our_approach_programmes_, https___www_myfirstskool_com__main, https___www_myfirstskool_com_our_centres_experience, https___www_myfirstskool_com_for_parents_calendar_, https___www_myfirstskool_com_preschools_in_ang_mo_kio, https___www_myfirstskool_com_preschools_in_toa_payoh, https___www_myfirstskool_com_our_approach_, https___www_myfirstskool_com_about_us_vision_mission_, https___www_myfirstskool_com__main_container, https___www_myfirstskool_com_about_us_news_media_, https___www_myfirstskool_com_our_approach_programmes, https___www_myfirstskool_com_teach_with_us, https___www_myfirstskool_com_register, https___www_myfirstskool_com_fees_perks_fees_, https___www_myfirstskool_com_faq, https___www_myfirstskool_com_teach_with_us_, https___www_myfirstskool_com_, https___www_myfirstskool_com_our_centres_experience_, https___www_myfirstskool_com_about_us_, https___www_myfirstskool_com_about_us_my_first_skool_, https___www_myfirstskool_com_for_parents_articles_, https___www_myfirstskool_com_our_centres_, https___www_myfirstskool_com_fees_perks_, https___www_myfirstskool_com_our_centres_find_a_centre_, https___www_myfirstskool_com_preschools_in_sengkang, https___www_myfirstskool_com_privacy_policy_","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
